,project_id,point_id,x,y,source,identifier,display_name,display_code,score,qualifiers,image_name,dataset,patch_url,bucket,key
0,241,6928213,0.3,0.625,Seaweed CATAMI1.0,99999999,Exclude | Cant Tell,XCT,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
1,241,6928216,0.9,0.625,Seaweed CATAMI1.0,54102902,Macroalgae | Sheet-like  membraneous | Brown | Dictyotaceae | Dictyota,MASB,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
2,241,6928209,0.5,0.375,Seaweed CATAMI1.0,82001005,Substrate | Unconsolidated (soft),SU,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
3,241,6928218,0.3,0.875,Seaweed CATAMI1.0,99999999,Exclude | Cant Tell,XCT,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
4,241,6928203,0.3,0.125,Seaweed CATAMI1.0,99999999,Exclude | Cant Tell,XCT,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
5,241,6928204,0.5,0.125,Seaweed CATAMI1.0,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,MAECB,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
6,241,6928214,0.5,0.625,Seaweed CATAMI1.0,82001005,Substrate | Unconsolidated (soft),SU,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
7,241,6928215,0.7,0.625,Seaweed CATAMI1.0,82001005,Substrate | Unconsolidated (soft),SU,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
8,241,6928217,0.1,0.875,Seaweed CATAMI1.0,99999999,Exclude | Cant Tell,XCT,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
9,241,6928221,0.9,0.875,Seaweed CATAMI1.0,82001005,Substrate | Unconsolidated (soft),SU,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
10,241,6928219,0.5,0.875,Seaweed CATAMI1.0,54102902,Macroalgae | Sheet-like  membraneous | Brown | Dictyotaceae | Dictyota,MASB,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
11,241,6928212,0.1,0.625,Seaweed CATAMI1.0,99999999,Exclude | Cant Tell,XCT,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
12,241,6928202,0.1,0.125,Seaweed CATAMI1.0,99999999,Exclude | Cant Tell,XCT,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
13,241,6928211,0.9,0.375,Seaweed CATAMI1.0,54102902,Macroalgae | Sheet-like  membraneous | Brown | Dictyotaceae | Dictyota,MASB,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
14,241,6928208,0.3,0.375,Seaweed CATAMI1.0,99999999,Exclude | Cant Tell,XCT,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
15,241,6928207,0.1,0.375,Seaweed CATAMI1.0,99999999,Exclude | Cant Tell,XCT,,,https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,MD01_061122,http://benthobox.com:/unsafe/200x150/https://aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG,https:,/aims-data.s3.ap-southeast-2.amazonaws.com/Blue Carbon/Trip7989MacroalgaeImages/MD01_061122/IMG_8592.JPG
